captured_at,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,380,5ban Graphics,5ban-graphics,PRE 11,11,805400,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,330,21404,https://images.tcggo.com/tcggo/storage/21426/hydrapple-ex-pre-11-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21404,https://www.tcggo.com/external/tcgplayer/21404,Hydrapple ex,Hydrapple ex 11,1.1,0.98,1038,EUR,[],,,,,,,,0.3,0.39,0.39,1,1,0.38,0.49,0.4,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.73,Double Rare,hydrapple-ex,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/hydrapple-ex-11,sv8pt5-11,610366,singles
2026-08-23T17:19:56+02:00,380,5ban Graphics,5ban-graphics,PRE 12,12,805401,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,210,21405,https://images.tcggo.com/tcggo/storage/21427/teal-mask-ogerpon-ex-pre-12-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21405,https://www.tcggo.com/external/tcgplayer/21405,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex 12,3.55,3.18,502,EUR,[],,,,,,,,1,2,2,3.75,3.75,1,2.1,2.1,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,2.03,Double Rare,teal-mask-ogerpon-ex,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/teal-mask-ogerpon-ex-12,sv8pt5-12,610367,singles
2026-08-23T17:19:56+02:00,486,Ryota Murayama,ryota-murayama,PRE 13,13,805402,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,130,21406,https://images.tcggo.com/tcggo/storage/21428/flareon-pre-13-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21406,https://www.tcggo.com/external/tcgplayer/21406,Flareon,Flareon 13,0.18,0.2,6052,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.36,rare,flareon,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/flareon-13-1,sv8pt5-13,610368,singles
2026-08-23T17:19:56+02:00,380,5ban Graphics,5ban-graphics,PRE 14,14,805403,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,270,21407,https://images.tcggo.com/tcggo/storage/21429/flareon-ex-pre-14-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21407,https://www.tcggo.com/external/tcgplayer/21407,Flareon ex,Flareon ex 14,4.87,4.92,754,EUR,[],,,,,,,,3.99,3.69,3.69,4.19,4.19,3.99,3.75,3.8,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,4.32,Double Rare,flareon-ex,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/flareon-ex-14,sv8pt5-14,610369,singles
2026-08-23T17:19:56+02:00,432,Whisker,whisker,PRE 15,15,805404,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,70,21408,https://images.tcggo.com/tcggo/storage/21430/litleo-pre-15-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21408,https://www.tcggo.com/external/tcgplayer/21408,Litleo,Litleo 15,0.03,0.04,23154,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.08,Common,litleo,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/litleo-15,sv8pt5-15,610370,singles
2026-08-23T17:19:56+02:00,436,Takeshi Nakamura,takeshi-nakamura,PRE 16,16,806431,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,120,21409,https://images.tcggo.com/tcggo/storage/21431/pyroar-pre-16-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21409,https://www.tcggo.com/external/tcgplayer/21409,Pyroar,Pyroar 16,0.02,0.03,19634,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,Uncommon,pyroar,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/pyroar-16,sv8pt5-16,610371,singles
2026-08-23T17:19:56+02:00,380,5ban Graphics,5ban-graphics,PRE 17,17,805406,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,210,21410,https://images.tcggo.com/tcggo/storage/21432/hearthflame-mask-ogerpon-ex-pre-17-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21410,https://www.tcggo.com/external/tcgplayer/21410,Hearthflame Mask Ogerpon ex,Hearthflame Mask Ogerpon ex 17,0.71,0.72,1559,EUR,[],,,,,,,,0.25,0.2,0.2,0.35,0.35,0.25,0.5,0.5,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.56,Double Rare,hearthflame-mask-ogerpon-ex,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/hearthflame-mask-ogerpon-ex-17,sv8pt5-17,610372,singles
2026-08-23T17:19:56+02:00,528,Natsumi Yoshida,natsumi-yoshida,PRE 18,18,805407,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,70,21411,https://images.tcggo.com/tcggo/storage/21433/slowpoke-pre-18-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21411,https://www.tcggo.com/external/tcgplayer/21411,Slowpoke,Slowpoke 18,0.04,0.04,21425,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,Common,slowpoke,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/slowpoke-18,sv8pt5-18,610373,singles
2026-08-23T17:19:56+02:00,368,Oswaldo KATO,oswaldo-kato,PRE 19,19,805408,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,130,21412,https://images.tcggo.com/tcggo/storage/21434/slowking-pre-19-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21412,https://www.tcggo.com/external/tcgplayer/21412,Slowking,Slowking 19,0.03,0.04,19020,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,Uncommon,slowking,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/slowking-19,sv8pt5-19,610374,singles
2026-08-23T17:19:56+02:00,391,saino misaki,saino-misaki,PRE 20,20,805409,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,50,21413,https://images.tcggo.com/tcggo/storage/21435/goldeen-pre-20-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21413,https://www.tcggo.com/external/tcgplayer/21413,Goldeen,Goldeen 20,0.04,0.03,21628,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,Common,goldeen,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/goldeen-20,sv8pt5-20,610375,singles
2026-08-23T17:19:56+02:00,494,Nelnal,nelnal,PRE 21,21,805410,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,110,21414,https://images.tcggo.com/tcggo/storage/21436/seaking-pre-21-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21414,https://www.tcggo.com/external/tcgplayer/21414,Seaking,Seaking 21,0.05,0.07,17038,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,Uncommon,seaking,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/seaking-21-1,sv8pt5-21,610376,singles
2026-08-23T17:19:56+02:00,512,kirisAki,kirisaki,PRE 22,22,805411,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,130,21415,https://images.tcggo.com/tcggo/storage/21437/vaporeon-pre-22-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21415,https://www.tcggo.com/external/tcgplayer/21415,Vaporeon,Vaporeon 22,0.18,0.2,6028,EUR,[],,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.38,rare,vaporeon,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/vaporeon-22-1,sv8pt5-22,610377,singles
2026-08-23T17:19:56+02:00,380,5ban Graphics,5ban-graphics,PRE 23,23,805412,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,280,21416,https://images.tcggo.com/tcggo/storage/21438/vaporeon-ex-pre-23-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21416,https://www.tcggo.com/external/tcgplayer/21416,Vaporeon ex,Vaporeon ex 23,3.52,3.54,649,EUR,,,,,,99,24,29,2,3.73,3.73,1.5,1.5,2,2.4,2.4,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,3.06,Double Rare,vaporeon-ex,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/vaporeon-ex-23,sv8pt5-23,610378,singles
2026-08-23T17:19:56+02:00,366,Kuroimori,kuroimori,PRE 24,24,805413,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,120,21417,https://images.tcggo.com/tcggo/storage/21439/suicune-pre-24-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21417,https://www.tcggo.com/external/tcgplayer/21417,Suicune,Suicune 24,0.03,0.03,18415,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,Uncommon,suicune,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/suicune-24,sv8pt5-24,610379,singles
