captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs10black,prices.cardmarket.graded.bgs.bgs10pristine,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,768,Kanami Ogata,kanami-ogata,DRI 11,11,825885,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,70,22087,https://images.tcggo.com/tcggo/storage/22116/dwebble-dri-11-destined-rivals.png,https://www.tcggo.com/external/cm/22087,https://www.tcggo.com/external/tcgplayer/22087,Dwebble,Dwebble 11,0.1,0.09,6061,EUR,[],,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,0.17,Common,dwebble,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/dwebble-11-1,sv10-11,632837,singles
2026-08-23T17:19:56+02:00,,532,Po-Suzuki,po-suzuki,DRI 12,12,825886,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,150,22088,https://images.tcggo.com/tcggo/storage/22117/crustle-dri-12-destined-rivals.png,https://www.tcggo.com/external/cm/22088,https://www.tcggo.com/external/tcgplayer/22088,Crustle,Crustle 12,0.13,0.1,8225,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,0.17,rare,crustle,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/crustle-12-1,sv10-12,632838,singles
2026-08-23T17:19:56+02:00,,769,mashu,mashu,DRI 13,13,825887,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,60,22089,https://images.tcggo.com/tcggo/storage/22118/fomantis-dri-13-destined-rivals.png,https://www.tcggo.com/external/cm/22089,https://www.tcggo.com/external/tcgplayer/22089,Fomantis,Fomantis 13,0.04,0.04,8986,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.11,Common,fomantis,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/fomantis-13,sv10-13,632839,singles
2026-08-23T17:19:56+02:00,,420,Masako Tomii,masako-tomii,DRI 14,14,825888,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,120,22090,https://images.tcggo.com/tcggo/storage/22119/lurantis-dri-14-destined-rivals.png,https://www.tcggo.com/external/cm/22090,https://www.tcggo.com/external/tcgplayer/22090,Lurantis,Lurantis 14,0.04,0.03,9782,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.3,0.12,Uncommon,lurantis,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/lurantis-14,sv10-14,632840,singles
2026-08-23T17:19:56+02:00,,770,buchi,buchi,DRI 15,15,825889,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,60,22091,https://images.tcggo.com/tcggo/storage/22120/team-rockets-blipbug-dri-15-destined-rivals.png,https://www.tcggo.com/external/cm/22091,https://www.tcggo.com/external/tcgplayer/22091,Team Rocket's Blipbug,Team Rocket's Blipbug 15,0.02,0.02,16413,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.09,Common,team-rockets-blipbug,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/team-rockets-blipbug-15,sv10-15,632841,singles
2026-08-23T17:19:56+02:00,,431,Tetsu Kayama,tetsu-kayama,DRI 16,16,825890,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,40,22092,https://images.tcggo.com/tcggo/storage/22121/applin-dri-16-destined-rivals.png,https://www.tcggo.com/external/cm/22092,https://www.tcggo.com/external/tcgplayer/22092,Applin,Applin 16,0.05,0.05,9280,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,0.13,Common,applin,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/applin-16,sv10-16,632842,singles
2026-08-23T17:19:56+02:00,,437,Shigenori Negishi,shigenori-negishi,DRI 17,17,825891,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,90,22093,https://images.tcggo.com/tcggo/storage/22122/dipplin-dri-17-destined-rivals.png,https://www.tcggo.com/external/cm/22093,https://www.tcggo.com/external/tcgplayer/22093,Dipplin,Dipplin 17,0.04,0.04,9415,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,0.12,Common,dipplin,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/dipplin-17,sv10-17,632843,singles
2026-08-23T17:19:56+02:00,,363,Anesaki Dynamic,anesaki-dynamic,DRI 18,18,825892,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,170,22094,https://images.tcggo.com/tcggo/storage/22123/hydrapple-dri-18-destined-rivals.png,https://www.tcggo.com/external/cm/22094,https://www.tcggo.com/external/tcgplayer/22094,Hydrapple,Hydrapple 18,0.07,0.07,10293,EUR,[],,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.27,0.17,rare,hydrapple,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/hydrapple-18,sv10-18,632844,singles
2026-08-23T17:19:56+02:00,,370,Saboteri,saboteri,DRI 19,19,825893,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,50,22095,https://images.tcggo.com/tcggo/storage/22124/team-rockets-tarountula-dri-19-destined-rivals.png,https://www.tcggo.com/external/cm/22095,https://www.tcggo.com/external/tcgplayer/22095,Team Rocket's Tarountula,Team Rocket's Tarountula 19,0.06,0.08,12648,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,0.15,Common,team-rockets-tarountula,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/team-rockets-tarountula-19,sv10-19,632845,singles
2026-08-23T17:19:56+02:00,,480,Taiga Kasai,taiga-kasai,DRI 20,20,825894,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,130,22096,https://images.tcggo.com/tcggo/storage/22125/team-rockets-spidops-dri-20-destined-rivals.png,https://www.tcggo.com/external/cm/22096,https://www.tcggo.com/external/tcgplayer/22096,Team Rocket's Spidops,Team Rocket's Spidops 20,0.08,0.07,8071,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.3,0.21,rare,team-rockets-spidops,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/team-rockets-spidops-20,sv10-20,632846,singles
2026-08-23T17:19:56+02:00,,401,Yuka Morii,yuka-morii,DRI 21,21,825895,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,60,22097,https://images.tcggo.com/tcggo/storage/22126/smoliv-dri-21-destined-rivals.png,https://www.tcggo.com/external/cm/22097,https://www.tcggo.com/external/tcgplayer/22097,Smoliv,Smoliv 21,0.06,0.04,13571,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.26,0.15,Common,smoliv,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/smoliv-21-1,sv10-21,630805,singles
2026-08-23T17:19:56+02:00,,771,Felicia Chen,felicia-chen,DRI 22,22,825896,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,90,22098,https://images.tcggo.com/tcggo/storage/22127/dolliv-dri-22-destined-rivals.png,https://www.tcggo.com/external/cm/22098,https://www.tcggo.com/external/tcgplayer/22098,Dolliv,Dolliv 22,0.08,0.06,7183,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.17,Common,dolliv,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/dolliv-22-1,sv10-22,630806,singles
2026-08-23T17:19:56+02:00,,475,PLANETA Tsuji,planeta-tsuji,DRI 23,23,825897,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,310,22099,https://images.tcggo.com/tcggo/storage/22128/arboliva-ex-dri-23-destined-rivals.png,https://www.tcggo.com/external/cm/22099,https://www.tcggo.com/external/tcgplayer/22099,Arboliva ex,Arboliva ex 23,0.55,0.57,2227,EUR,[],,,,,,,,,,,0.2,0.05,0.05,0.1,0.1,0.2,0.4,0.4,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.57,0.79,Double Rare,arboliva-ex,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/arboliva-ex-23,sv10-23,630807,singles
2026-08-23T17:19:56+02:00,,364,Toshinao Aoki,toshinao-aoki,DRI 24,24,825898,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,40,22100,https://images.tcggo.com/tcggo/storage/22129/rellor-dri-24-destined-rivals.png,https://www.tcggo.com/external/cm/22100,https://www.tcggo.com/external/tcgplayer/22100,Rellor,Rellor 24,0.03,0.04,16639,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.09,Common,rellor,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/rellor-24,sv10-24,632847,singles
