captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:06:43+02:00,,357,Yoriyuki Ikegami,yoriyuki-ikegami,ASC 16,16,869627,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,30,31467,https://images.tcggo.com/tcggo/storage/31866/budew-asc-16-ascended-heroes.png,https://www.tcggo.com/external/cm/31467,https://www.tcggo.com/external/tcgplayer/31467,Budew,Budew 16,,0.05,0.06,11012,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.69,Common,budew,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/budew-16,me2pt5-16,675828,singles
2026-08-23T17:06:43+02:00,,386,Jerky,jerky,ASC 17,17,869628,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,70,31468,https://images.tcggo.com/tcggo/storage/31885/grubbin-asc-17-ascended-heroes.png,https://www.tcggo.com/external/cm/31468,https://www.tcggo.com/external/tcgplayer/31468,Grubbin,Grubbin 17,,0.03,0.02,12074,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.07,Common,grubbin,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/grubbin-17,me2pt5-17,675829,singles
2026-08-23T17:06:43+02:00,,370,Saboteri,saboteri,ASC 18,18,869629,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,50,31469,https://images.tcggo.com/tcggo/storage/31904/team-rockets-tarountula-asc-18-ascended-heroes.png,https://www.tcggo.com/external/cm/31469,https://www.tcggo.com/external/tcgplayer/31469,Team Rocket's Tarountula,Team Rocket's Tarountula 18,,0.04,0.04,5205,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,Common,team-rockets-tarountula,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/team-rockets-tarountula-18,me2pt5-18,675830,singles
2026-08-23T17:06:43+02:00,,480,Taiga Kasai,taiga-kasai,ASC 19,19,869630,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,130,31470,https://images.tcggo.com/tcggo/storage/31923/team-rockets-spidops-asc-19-ascended-heroes.png,https://www.tcggo.com/external/cm/31470,https://www.tcggo.com/external/tcgplayer/31470,Team Rocket's Spidops,Team Rocket's Spidops 19,,0.08,0.07,6337,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,rare,team-rockets-spidops,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/team-rockets-spidops-19,me2pt5-19,675831,singles
2026-08-23T17:06:43+02:00,,365,Orca,orca,ASC 20,20,869631,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,80,31471,https://images.tcggo.com/tcggo/storage/31942/charmander-asc-20-ascended-heroes.png,https://www.tcggo.com/external/cm/31471,https://www.tcggo.com/external/tcgplayer/31471,Charmander,Charmander 20,,0.05,0.03,10933,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,Common,charmander,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/charmander-20,me2pt5-20,675832,singles
2026-08-23T17:06:43+02:00,,583,Julie Hang,julie-hang,ASC 21,21,869632,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,100,31472,https://images.tcggo.com/tcggo/storage/31961/charmeleon-asc-21-ascended-heroes.png,https://www.tcggo.com/external/cm/31472,https://www.tcggo.com/external/tcgplayer/31472,Charmeleon,Charmeleon 21,,0.04,0.04,7872,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,Uncommon,charmeleon,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/charmeleon-21,me2pt5-21,675833,singles
2026-08-23T17:06:43+02:00,,371,aky CG Works,aky-cg-works,ASC 22,22,869633,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,360,31473,https://images.tcggo.com/tcggo/storage/31980/mega-charizard-y-ex-asc-22-ascended-heroes.png,https://www.tcggo.com/external/cm/31473,https://www.tcggo.com/external/tcgplayer/31473,Mega Charizard Y ex,Mega Charizard Y ex 22,,5.3,5.02,684,EUR,[],4,3.5,3.5,4.25,4.25,4.5,3.35,3.5,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,6,Double Rare,mega-charizard-y-ex,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/mega-charizard-y-ex-22,me2pt5-22,675834,singles
2026-08-23T17:06:43+02:00,,379,Sanosuke Sakuma,sanosuke-sakuma,ASC 23,23,869634,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,80,31474,https://images.tcggo.com/tcggo/storage/31999/ethans-slugma-asc-23-ascended-heroes.png,https://www.tcggo.com/external/cm/31474,https://www.tcggo.com/external/tcgplayer/31474,Ethan's Slugma,Ethan's Slugma 23,,0.03,0.02,11790,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.09,Common,ethans-slugma,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/ethans-slugma-23,me2pt5-23,675835,singles
2026-08-23T17:06:43+02:00,,414,kodama,kodama,ASC 24,24,869635,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,130,31475,https://images.tcggo.com/tcggo/storage/32017/ethans-magcargo-asc-24-ascended-heroes.png,https://www.tcggo.com/external/cm/31475,https://www.tcggo.com/external/tcgplayer/31475,Ethan's Magcargo,Ethan's Magcargo 24,,0.05,0.04,6780,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.12,rare,ethans-magcargo,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/ethans-magcargo-24,me2pt5-24,675836,singles
2026-08-23T17:06:43+02:00,,439,Kazumasa Yasukuni,kazumasa-yasukuni,ASC 25,25,869636,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,140,31476,https://images.tcggo.com/tcggo/storage/31741/entei-asc-25-ascended-heroes.png,https://www.tcggo.com/external/cm/31476,https://www.tcggo.com/external/tcgplayer/31476,Entei,Entei 25,,0.07,0.09,5968,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,rare,entei,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/entei-25,me2pt5-25,675837,singles
