captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.ars.10.median_price,prices.ebay.graded.ars.10.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.7.median_price,prices.ebay.graded.sgc.7.sample_size,prices.ebay.graded.sgc.8.median_price,prices.ebay.graded.sgc.8.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type,version
2026-08-23T17:19:56+02:00,,362,Naoyo Kimura,naoyo-kimura,MEW 25,25,733620,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,60,2494,https://images.tcggo.com/tcggo/storage/2508/pikachu-mew-25-151-pokemon.png,https://www.tcggo.com/external/cm/2494,https://www.tcggo.com/external/tcgplayer/2494,Pikachu,Pikachu 25,0.53,1.25,7988,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,USD,,,,,,,,,,,355.55,1,,,,,32.98,5,,,,,96.44,2,268.13,5,382.25,1,93,5,44.85,5,,,,,,,,,,,,,,,,,EUR,0.83,0.18,Common,pikachu,Pokémon,https://www.tcggo.com/pokemon/151/pikachu-25,sv3pt5-25,517033,singles,
2026-08-23T17:19:56+02:00,,368,Oswaldo KATO,oswaldo-kato,MEW 16,16,733611,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,50,2495,https://images.tcggo.com/tcggo/storage/2509/pidgey-mew-16-151-pokemon.png,https://www.tcggo.com/external/cm/2495,https://www.tcggo.com/external/tcgplayer/2495,Pidgey,Pidgey 16,0.08,0.09,11255,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.25,0.17,Common,pidgey,Pokémon,https://www.tcggo.com/pokemon/151/pidgey-16,sv3pt5-16,502565,singles,
2026-08-23T17:19:56+02:00,,385,Teeziro,teeziro,MEW 29,29,733624,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,60,2496,https://images.tcggo.com/tcggo/storage/2510/nidoran-mew-29-151-pokemon.png,https://www.tcggo.com/external/cm/2496,https://www.tcggo.com/external/tcgplayer/2496,Nidoran ♀,Nidoran ♀ 29,0.18,0.16,2664,EUR,[],,,,,,,,,0.02,0.03,0.03,0.2,0.2,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,1.46,0.17,Common,nidoran,Pokémon,https://www.tcggo.com/pokemon/151/nidoran-29,sv3pt5-29,515994,singles,
2026-08-23T17:19:56+02:00,,396,Gemi,gemi,MEW 21,21,733616,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,50,2497,https://images.tcggo.com/tcggo/storage/2511/spearow-mew-21-151-pokemon.png,https://www.tcggo.com/external/cm/2497,https://www.tcggo.com/external/tcgplayer/2497,Spearow,Spearow 21,0.05,0.05,11903,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,1.48,0.16,Common,spearow,Pokémon,https://www.tcggo.com/pokemon/151/spearow-21,sv3pt5-21,502587,singles,
2026-08-23T17:19:56+02:00,,443,Shiburingaru,shiburingaru,MEW 33,33,733628,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,90,2498,https://images.tcggo.com/tcggo/storage/2512/nidorino-mew-33-151-pokemon.png,https://www.tcggo.com/external/cm/2498,https://www.tcggo.com/external/tcgplayer/2498,Nidorino,Nidorino 33,0.07,0.07,10261,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.26,0.13,Uncommon,nidorino,Pokémon,https://www.tcggo.com/pokemon/151/nidorino-33,sv3pt5-33,516016,singles,
2026-08-23T17:19:56+02:00,,385,Teeziro,teeziro,MEW 30,30,733625,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,90,2499,https://images.tcggo.com/tcggo/storage/2513/nidorina-mew-30-151-pokemon.png,https://www.tcggo.com/external/cm/2499,https://www.tcggo.com/external/tcgplayer/2499,Nidorina,Nidorina 30,0.07,0.07,10454,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.14,Uncommon,nidorina,Pokémon,https://www.tcggo.com/pokemon/151/nidorina-30,sv3pt5-30,516000,singles,
2026-08-23T17:19:56+02:00,,443,Shiburingaru,shiburingaru,MEW 34,34,733629,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,170,2500,https://images.tcggo.com/tcggo/storage/2514/nidoking-mew-34-151-pokemon.png,https://www.tcggo.com/external/cm/2500,https://www.tcggo.com/external/tcgplayer/2500,Nidoking,Nidoking 34,0.23,0.24,5829,EUR,[],,,,,,,,,0.02,0.05,0.04,0.1,0.1,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,1.6,0.24,rare,nidoking,Pokémon,https://www.tcggo.com/pokemon/151/nidoking-34,sv3pt5-34,516024,singles,
2026-08-23T17:19:56+02:00,,443,Shiburingaru,shiburingaru,MEW 32,32,733627,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,60,2501,https://images.tcggo.com/tcggo/storage/2515/nidoran-mew-32-151-pokemon.png,https://www.tcggo.com/external/cm/2501,https://www.tcggo.com/external/tcgplayer/2501,Nidoran ♂,Nidoran ♂ 32,0.14,0.16,2729,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,2.47,0.17,Common,nidoran,Pokémon,https://www.tcggo.com/pokemon/151/nidoran-32,sv3pt5-32,516006,singles,
2026-08-23T17:19:56+02:00,,513,ryoma uratsuka,ryoma-uratsuka,MEW 35,35,733630,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,60,2502,https://images.tcggo.com/tcggo/storage/2516/clefairy-mew-35-151-pokemon.png,https://www.tcggo.com/external/cm/2502,https://www.tcggo.com/external/tcgplayer/2502,Clefairy,Clefairy 35,0.05,0.05,14239,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.25,0.14,Common,clefairy,Pokémon,https://www.tcggo.com/pokemon/151/clefairy-35,sv3pt5-35,516030,singles,
2026-08-23T17:19:56+02:00,,513,ryoma uratsuka,ryoma-uratsuka,MEW 36,36,733631,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,100,2503,https://images.tcggo.com/tcggo/storage/2517/clefable-mew-36-151-pokemon.png,https://www.tcggo.com/external/cm/2503,https://www.tcggo.com/external/tcgplayer/2503,Clefable,Clefable 36,0.07,0.07,10258,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,0.13,Uncommon,clefable,Pokémon,https://www.tcggo.com/pokemon/151/clefable-36,sv3pt5-36,516036,singles,
2026-08-23T17:19:56+02:00,,498,Sekio,sekio,MEW 44,44,733639,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,70,2504,https://images.tcggo.com/tcggo/storage/2518/gloom-mew-44-151-pokemon.png,https://www.tcggo.com/external/cm/2504,https://www.tcggo.com/external/tcgplayer/2504,Gloom,Gloom 44,0.06,0.06,11096,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.14,Uncommon,gloom,Pokémon,https://www.tcggo.com/pokemon/151/gloom-44,sv3pt5-44,516157,singles,
2026-08-23T17:19:56+02:00,,498,Sekio,sekio,MEW 45,45,733640,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,140,2505,https://images.tcggo.com/tcggo/storage/2519/vileplume-mew-45-151-pokemon.png,https://www.tcggo.com/external/cm/2505,https://www.tcggo.com/external/tcgplayer/2505,Vileplume,Vileplume 45,0.21,0.21,6706,EUR,[],,,,,,,,,0.02,0.03,0.03,0.05,0.05,0.02,0.04,0.04,0.02,0.02,USD,,,,,,,,,,,,,,,50,1,100,5,22.5,1,,,39.99,5,416.29,5,26.43,5,37.93,5,46.16,5,,,,,20,1,69.99,1,190,1,,,175,1,47.84,1,EUR,0.85,0.21,rare,vileplume,Pokémon,https://www.tcggo.com/pokemon/151/vileplume-45,sv3pt5-45,516159,singles,
2026-08-23T17:19:56+02:00,,357,Yoriyuki Ikegami,yoriyuki-ikegami,MEW 46,46,733641,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,70,2506,https://images.tcggo.com/tcggo/storage/2520/paras-mew-46-151-pokemon.png,https://www.tcggo.com/external/cm/2506,https://www.tcggo.com/external/tcgplayer/2506,Paras,Paras 46,0.04,0.04,15830,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.13,Common,paras,Pokémon,https://www.tcggo.com/pokemon/151/paras-46,sv3pt5-46,516163,singles,
2026-08-23T17:19:56+02:00,,438,Miki Tanaka,miki-tanaka,MEW 51,51,733646,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,90,2507,https://images.tcggo.com/tcggo/storage/2521/dugtrio-mew-51-151-pokemon.png,https://www.tcggo.com/external/cm/2507,https://www.tcggo.com/external/tcgplayer/2507,Dugtrio,Dugtrio 51,0.06,0.06,11210,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.13,Uncommon,dugtrio,Pokémon,https://www.tcggo.com/pokemon/151/dugtrio-51,sv3pt5-51,516216,singles,
