captured_at,sort_price_field,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-17T14:43:18+02:00,lowest_near_mint,,405,nagimiso,nagimiso,PBL 109,109,895894,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49878,https://images.tcggo.com/tcggo/storage/38234/gwynn-109-pitch-black.png,https://www.tcggo.com/external/cm/49878,https://www.tcggo.com/external/tcgplayer/49878,Gwynn,Gwynn 109,8.11,7.99,324,EUR,[],7.5,6.99,6.99,12,12,7.5,6.5,6.5,5.99,5.99,,,,,,,,EUR,7.64,Ultra Rare,gwynn,,https://www.tcggo.com/pokemon/pitch-black/gwynn-1,PBL-109,704866,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,380,5ban Graphics,5ban-graphics,PBL 101,101,895886,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49870,https://images.tcggo.com/tcggo/storage/38226/mega-darkrai-ex-101-pitch-black.png,https://www.tcggo.com/external/cm/49870,https://www.tcggo.com/external/tcgplayer/49870,Mega Darkrai ex,Mega Darkrai ex 101,10.22,10.58,345,EUR,[],7.17,8.7,8.7,9.98,9.98,7.17,11.9,11.9,7.9,7.9,,,,,,,,EUR,11.74,Ultra Rare,mega-darkrai-ex,,https://www.tcggo.com/pokemon/pitch-black/mega-darkrai-ex-1,PBL-101,704858,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,380,5ban Graphics,5ban-graphics,PBL 99,99,895884,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49868,https://images.tcggo.com/tcggo/storage/38224/mega-chandelure-ex-99-pitch-black.png,https://www.tcggo.com/external/cm/49868,https://www.tcggo.com/external/tcgplayer/49868,Mega Chandelure ex,Mega Chandelure ex 99,6.5,6.83,277,EUR,[],6,4.5,5,7.5,7.5,6,6,6,4.99,4.99,,,,,,,,EUR,7.89,Ultra Rare,mega-chandelure-ex,,https://www.tcggo.com/pokemon/pitch-black/mega-chandelure-ex-1,PBL-99,704856,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,1192,Keisuke Azuma,keisuke-azuma,PBL 103,103,895888,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49872,https://images.tcggo.com/tcggo/storage/38228/mega-excadrill-ex-103-pitch-black.png,https://www.tcggo.com/external/cm/49872,https://www.tcggo.com/external/tcgplayer/49872,Mega Excadrill ex,Mega Excadrill ex 103,6.18,5.86,325,EUR,[],5.37,4.5,4.5,5.9,5.9,5,4.84,4.84,5,5,,,,,,,,EUR,8.13,Ultra Rare,mega-excadrill-ex,,https://www.tcggo.com/pokemon/pitch-black/mega-excadrill-ex-1,PBL-103,704860,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,380,5ban Graphics,5ban-graphics,PBL 98,98,895883,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49867,https://images.tcggo.com/tcggo/storage/38223/mega-zeraora-ex-98-pitch-black.png,https://www.tcggo.com/external/cm/49867,https://www.tcggo.com/external/tcgplayer/49867,Mega Zeraora ex,Mega Zeraora ex 98,7.03,6.69,375,EUR,[],5.2,5.98,5.98,7,7,5.2,8,8,3.99,3.99,,,,,,,,EUR,6.63,Ultra Rare,mega-zeraora-ex,,https://www.tcggo.com/pokemon/pitch-black/mega-zeraora-ex-1,PBL-98,704855,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,784,Nakamura Ippan,nakamura-ippan,PBL 91,91,895875,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49860,https://images.tcggo.com/tcggo/storage/38216/dhelmise-91-pitch-black.png,https://www.tcggo.com/external/cm/49860,https://www.tcggo.com/external/tcgplayer/49860,Dhelmise,Dhelmise 91,4.99,3.99,886,EUR,[],3.7,1.9,1.9,4.98,4.98,3.7,3.5,3.5,2.39,2.39,,,,,,,,EUR,3.69,Illustration Rare,dhelmise,,https://www.tcggo.com/pokemon/pitch-black/dhelmise-12,PBL-91,704848,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,380,5ban Graphics,5ban-graphics,PBL 102,102,895887,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49871,https://images.tcggo.com/tcggo/storage/38227/morpeko-ex-102-pitch-black.png,https://www.tcggo.com/external/cm/49871,https://www.tcggo.com/external/tcgplayer/49871,Morpeko ex,Morpeko ex 102,4.07,3.75,424,EUR,[],3.48,3,3,3.49,3.49,3.48,4,4,2.74,2.74,,,,,,,,EUR,6.52,Ultra Rare,morpeko-ex,,https://www.tcggo.com/pokemon/pitch-black/morpeko-ex-1,PBL-102,704859,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,450,Iwamoto05,iwamoto05,PBL 86,86,895870,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49855,https://images.tcggo.com/tcggo/storage/38211/armarouge-86-pitch-black.png,https://www.tcggo.com/external/cm/49855,https://www.tcggo.com/external/tcgplayer/49855,Armarouge,Armarouge 86,4.38,3.91,813,EUR,[],3,2,2,3.38,3.38,3,4.5,4.5,2.49,2.49,,,,,,,,EUR,4.38,Illustration Rare,armarouge,,https://www.tcggo.com/pokemon/pitch-black/armarouge-4,PBL-86,704843,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,430,akagi,akagi,PBL 108,108,895893,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49877,https://images.tcggo.com/tcggo/storage/38233/gladions-final-battle-108-pitch-black.png,https://www.tcggo.com/external/cm/49877,https://www.tcggo.com/external/tcgplayer/49877,Gladion's Final Battle,Gladion's Final Battle 108,3.68,3.66,322,EUR,[],3,1.8,1.8,4.3,4.3,3,2.5,2.5,1.5,1.5,,,,,,,,EUR,2.89,Ultra Rare,gladions-final-battle,,https://www.tcggo.com/pokemon/pitch-black/gladions-final-battle-1,PBL-108,704865,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,417,satoma,satoma,PBL 88,88,895872,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49857,https://images.tcggo.com/tcggo/storage/38213/primarina-88-pitch-black.png,https://www.tcggo.com/external/cm/49857,https://www.tcggo.com/external/tcgplayer/49857,Primarina,Primarina 88,4.41,3.68,884,EUR,[],2.95,2,2,4,4,2.95,3.7,3.7,2.3,2.3,,,,,,,,EUR,3.91,Illustration Rare,primarina,,https://www.tcggo.com/pokemon/pitch-black/primarina-3,PBL-88,704845,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,380,5ban Graphics,5ban-graphics,PBL 100,100,895885,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49869,https://images.tcggo.com/tcggo/storage/38225/rampardos-ex-100-pitch-black.png,https://www.tcggo.com/external/cm/49869,https://www.tcggo.com/external/tcgplayer/49869,Rampardos ex,Rampardos ex 100,2.92,2.82,380,EUR,[],2.8,1.5,1.5,3.5,3.5,2.8,3.6,3.6,1,1,,,,,,,,EUR,3.1,Ultra Rare,rampardos-ex,,https://www.tcggo.com/pokemon/pitch-black/rampardos-ex-1,PBL-100,704857,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,785,HICO KIM,hico-kim,PBL 89,89,895873,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49858,https://images.tcggo.com/tcggo/storage/38214/manectric-89-pitch-black.png,https://www.tcggo.com/external/cm/49858,https://www.tcggo.com/external/tcgplayer/49858,Manectric,Manectric 89,3.74,3.55,744,EUR,[],2.7,1.9,1.9,2.5,2.5,2.9,6,6,1.73,1.73,,,,,,,,EUR,2.62,Illustration Rare,manectric,,https://www.tcggo.com/pokemon/pitch-black/manectric-30,PBL-89,704846,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,535,Jiro Sasumo,jiro-sasumo,PBL 85,85,895869,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49854,https://images.tcggo.com/tcggo/storage/38210/fomantis-85-pitch-black.png,https://www.tcggo.com/external/cm/49854,https://www.tcggo.com/external/tcgplayer/49854,Fomantis,Fomantis 85,3.41,3.01,773,EUR,[],2.69,2,2,3.3,3.3,2.69,2.88,2.88,1.8,1.8,,,,,,,,EUR,2.94,Illustration Rare,fomantis,,https://www.tcggo.com/pokemon/pitch-black/fomantis-5,PBL-85,704842,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,458,Toyste Beach,toyste-beach,PBL 104,104,895889,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49873,https://images.tcggo.com/tcggo/storage/38229/brave-bangle-104-pitch-black.png,https://www.tcggo.com/external/cm/49873,https://www.tcggo.com/external/tcgplayer/49873,Brave Bangle,Brave Bangle 104,3.33,3.31,328,EUR,[],2.65,2.4,2.4,4.45,4.45,2.65,1.49,1.49,3.29,3.29,,,,,,,,EUR,4.07,Ultra Rare,brave-bangle,,https://www.tcggo.com/pokemon/pitch-black/brave-bangle-2,PBL-104,704861,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,380,5ban Graphics,5ban-graphics,PBL 97,97,895882,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49866,https://images.tcggo.com/tcggo/storage/38222/wailord-ex-97-pitch-black.png,https://www.tcggo.com/external/cm/49866,https://www.tcggo.com/external/tcgplayer/49866,Wailord ex,Wailord ex 97,3.27,3.29,333,EUR,[],2.5,1.99,1.99,2.95,2.95,2.5,4.49,4.49,1.48,1.48,,,,,,,,EUR,5.11,Ultra Rare,wailord-ex,,https://www.tcggo.com/pokemon/pitch-black/wailord-ex-1,PBL-97,704854,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,429,DOM,dom,PBL 95,95,895880,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49864,https://images.tcggo.com/tcggo/storage/38220/silvally-95-pitch-black.png,https://www.tcggo.com/external/cm/49864,https://www.tcggo.com/external/tcgplayer/49864,Silvally,Silvally 95,3.9,3.29,910,EUR,[],2.34,2.3,2.3,2.8,2.8,2.34,3.95,4,1.95,1.95,,,,,,,,EUR,2.5,Illustration Rare,silvally,,https://www.tcggo.com/pokemon/pitch-black/silvally-2,PBL-95,704852,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,449,miki kudo,miki-kudo,PBL 94,94,895879,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49863,https://images.tcggo.com/tcggo/storage/38219/toucannon-94-pitch-black.png,https://www.tcggo.com/external/cm/49863,https://www.tcggo.com/external/tcgplayer/49863,Toucannon,Toucannon 94,4.17,3.89,660,EUR,[],2.25,2.6,2.6,3.99,3.99,2.25,3,3,1.7,1.7,,,,,,,,EUR,3.7,Illustration Rare,toucannon,,https://www.tcggo.com/pokemon/pitch-black/toucannon-4,PBL-94,704851,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,357,Yoriyuki Ikegami,yoriyuki-ikegami,PBL 93,93,895878,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49862,https://images.tcggo.com/tcggo/storage/38218/bastiodon-93-pitch-black.png,https://www.tcggo.com/external/cm/49862,https://www.tcggo.com/external/tcgplayer/49862,Bastiodon,Bastiodon 93,3.41,2.71,856,EUR,[],2,1.5,1.5,1.5,1.5,2,2.68,2.7,1.64,1.64,,,,,,,,EUR,2.37,Illustration Rare,bastiodon,,https://www.tcggo.com/pokemon/pitch-black/bastiodon-8,PBL-93,704850,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,517,Ayaka Yoshida,ayaka-yoshida,PBL 105,105,895890,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49874,https://images.tcggo.com/tcggo/storage/38230/crushing-hammer-105-pitch-black.png,https://www.tcggo.com/external/cm/49874,https://www.tcggo.com/external/tcgplayer/49874,Crushing Hammer,Crushing Hammer 105,3.71,3.31,348,EUR,[],2,2.5,2.5,3.49,3.49,2,2.49,2.49,3.49,3.49,,,,,,,,EUR,4.19,Ultra Rare,crushing-hammer,,https://www.tcggo.com/pokemon/pitch-black/crushing-hammer-9,PBL-105,704862,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,458,Toyste Beach,toyste-beach,PBL 106,106,895891,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49875,https://images.tcggo.com/tcggo/storage/38231/dark-bell-106-pitch-black.png,https://www.tcggo.com/external/cm/49875,https://www.tcggo.com/external/tcgplayer/49875,Dark Bell,Dark Bell 106,2.67,2.43,422,EUR,[],2,1.4,1.4,3.38,3.38,2,2.5,2.5,1.45,1.45,,,,,,,,EUR,2.22,Ultra Rare,dark-bell,,https://www.tcggo.com/pokemon/pitch-black/dark-bell-1,PBL-106,704863,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,385,Teeziro,teeziro,PBL 112,112,895897,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49881,https://images.tcggo.com/tcggo/storage/38237/rust-syndicate-grunt-112-pitch-black.png,https://www.tcggo.com/external/cm/49881,https://www.tcggo.com/external/tcgplayer/49881,Rust Syndicate Grunt,Rust Syndicate Grunt 112,2.85,2.28,452,EUR,[],1.8,1.4,1.4,2.4,2.4,1.8,2,2,1.99,1.99,,,,,,,,EUR,2.31,Ultra Rare,rust-syndicate-grunt,,https://www.tcggo.com/pokemon/pitch-black/rust-syndicate-grunt-1,PBL-112,704869,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,461,Studio Bora Inc.,studio-bora-inc,PBL 107,107,895892,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49876,https://images.tcggo.com/tcggo/storage/38232/energy-switch-107-pitch-black.png,https://www.tcggo.com/external/cm/49876,https://www.tcggo.com/external/tcgplayer/49876,Energy Switch,Energy Switch 107,2.49,2.25,424,EUR,[],1.7,1,1,2.1,2.1,1.7,1,1,1.65,1.65,,,,,,,,EUR,2.03,Ultra Rare,energy-switch,,https://www.tcggo.com/pokemon/pitch-black/energy-switch-18,PBL-107,704864,singles
